=======================================================================================
AI DATA FILE - Xi'Chung AI Speech - Captain Kwok's Balance Mod v125+
=======================================================================================

Replacement Symbols used:
[%OurEmperorTitle%]       - Our Emperor's Title
Response Friend NO Request Military Assistance Against Empire 4         := We are neutral in this conflict.
Response Friend NO Request Military Assistance Against Empire 5         := We cannot help you, [%TargetEmperorTitle%] [%TargetEmperorName%]. You conflict with the [%OtherEmpireName%] is wrong.
Response Friend YES Request Military Assistance In System 1             := We will attack the enemy forces in the [%SystemName%] system shortly.
Response Friend YES Request Military Assistance In System 2             := Our forces are on route to the [%SystemName%] system to engage all hostile targets.
Response Friend YES Request Military Assistance In System 3             := We shall wipe the enemy hordes from the face of [%SystemName%]!
Response Friend YES Request Military Assistance In System 4             := We shall fight along side you, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Request Military Assistance In System 5             := We are sending 3 attack wings to the [%SystemName%] system. Orders: Destroy the all enemy intruders.
Response Friend NO Request Military Assistance In System 1              := The [%SystemName%] system is off limits to us.
Response Friend NO Request Military Assistance In System 2              := We have no forces near the [%SystemName%] to engage with.
Response Friend NO Request Military Assistance In System 3              := After suffering some recent defeats, we cannot enegage the forces in the [%SystemName%] system at this time.
Response Friend NO Request Military Assistance In System 4              := Our forces are weary from battle, [%TargetEmperorTitle%] [%TargetEmperorName%]. We will not be able to help you in the [%SystemName%] system.
Response Friend NO Request Military Assistance In System 5              := Attacking our enemies in the [%SystemName%] system is strategically unsound. We will not throw our soldiers lives away.
Response Friend YES Request Economic Assistance 1                       := We will send you what economic help we can, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Request Economic Assistance 2                       := We will gather what extra resources we can and send them your way, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend YES Request Economic Assistance 3                       := Though we are having shortages throughout our empire, we will send you what aide we can, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend YES Request Economic Assistance 4                       := We will do all that we can to aide you in your time of need, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend YES Request Economic Assistance 5                       := The [%OurEmpireName%] will do all that we can to economically assist the [%TargetEmpireName%].
Response Friend NO Request Economic Assistance 1                        := We cannot send you economic aide at this time, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Request Economic Assistance 2                        := Due to recent setbacks, we have no funds to spare at this time [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend NO Request Economic Assistance 3                        := It is our fondest wish to help our friend the [%TargetEmpireName%] in its time of need. Unfortunately, we are unable to at this time. 
Response Friend NO Request Economic Assistance 4                        := As you could not spare us help recently, [%TargetEmperorTitle%] [%TargetEmperorName%], we cannot help you either. 
Response Friend NO Request Economic Assistance 5                        := Our coffers are empty from our endless wars. We have no resources to send you at this time. 
Response Friend YES Request Technological Assistance 1                  := We would be happy to help the [%TargetEmpireName%] in reaching our level of technical sophistication. 
Response Friend YES Request Technological Assistance 2                  := As you are in such dire need, we will send technicians to help you bring your industry up to modern levels. 
Response Friend YES Request Technological Assistance 3                  := You have neglected your infrastructure for too long [%TargetEmperorTitle%] [%TargetEmperorName%]. We will help you in what modest ways we can. 
Response Friend YES Request Technological Assistance 4                  := Though our most recent advances are closely guarded secrets, we will give you some of our older technology, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend YES Request Technological Assistance 5                  := We will assist your engineers in any way we can, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Request Technological Assistance 1                   := It is our stated policy that we do not share technology with aggressive species. 
Response Friend NO Request Technological Assistance 2                   := We cannot trust you, [%TargetEmperorTitle%] [%TargetEmperorName%], to never use our technology against us. 
Response Friend NO Request Technological Assistance 3                   := We are no better off than you [%TargetEmperorTitle%] [%TargetEmperorName%]. We have no assistance to give. 
Response Friend NO Request Technological Assistance 4                   := We cannot assist you in improving the technology of your war machine. 
Response Friend NO Request Technological Assistance 5                   := Our technology is as vital to us as yours is to you, [%TargetEmperorTitle%] [%TargetEmperorName%]. We will not share it. 
Response Friend YES Request Intelligence Assistance 1                   := The [%OurEmpireName%] will attempt to assist the [%TargetEmpireName%] in its intelligence operations. 
Response Friend YES Request Intelligence Assistance 2                   := We will send some of our operatives to assist you [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend YES Request Intelligence Assistance 3                   := We shall look into who is commiting these intelligence attacks against you, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend YES Request Intelligence Assistance 4                   := Our intelligence operatives will help you, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Request Intelligence Assistance 5                   := Trust us when we say that our intelligence actions will help you eventually.
Response Friend NO Request Intelligence Assistance 1                    := We would never meddle in your internal affairs, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Request Intelligence Assistance 2                    := You have angered many in the galaxy, [%TargetEmperorTitle%] [%TargetEmperorName%]. They will attack you any way they can, and we will not stop them. 
Response Friend NO Request Intelligence Assistance 3                    := Military assistance is one thing, but our intelligence capabilities are severely limited [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend NO Request Intelligence Assistance 4                    := We will not stand with you against the fury of the others, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Request Intelligence Assistance 5                    := Intelligence assistance is something we cannot provide, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Request Intelligence Assistance Against Empire 1    := The [%OtherEmpireName%] has gone too far. We will indeed assist you against them [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Request Intelligence Assistance Against Empire 2    := The [%OtherEmpireName%] will fall before our combined intelligence might.
Response Friend YES Request Intelligence Assistance Against Empire 3    := The scheming attacks by the [%OtherEmpireName%] are a blight on all civilization. We will help you eradicate them [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend YES Request Intelligence Assistance Against Empire 4    := We have set in motion our operatives to attack the [%OtherEmpireName%].
Response Friend YES Request Intelligence Assistance Against Empire 5    := We will indeed assist you against the onslaught of the [%OtherEmpireName%].
Response Friend NO Request Intelligence Assistance Against Empire 1     := The [%OtherEmpireName%] have never severly harmed us. We will not help you against them.
Response Friend NO Request Intelligence Assistance Against Empire 2     := We will not be dragged into your petty squables, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Request Intelligence Assistance Against Empire 3     := We would not turn our backs on the [%OtherEmpireName%] and side with you!
Response Friend NO Request Intelligence Assistance Against Empire 4     := You have only brought this on yourself, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Request Intelligence Assistance Against Empire 5     := We cannot stand in the way of righteous vengeance by the [%OtherEmpireName%].
Response Friend YES Stop Border Incursions 1                            := We were unaware what a rogue general has been up to. We have put a stop to his uncondoned attacks.
Response Friend YES Stop Border Incursions 2                            := You need not worry anymore, [%TargetEmperorTitle%] [%TargetEmperorName%]. We have no further interest in that territory.
Response Friend YES Stop Border Incursions 3                            := Consider the border incursions stopped, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Stop Border Incursions 4                            := We shall respect your claims to this territory, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Stop Border Incursions 5                            := Consider this a mistake that we shall not repeat, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Stop Border Incursions 1                             := This territory was stolen from us eons ago, [%TargetEmperorTitle%] [%TargetEmperorName%]. We shall have it back. 
Response Friend NO Stop Border Incursions 2                             := You have no claim to that region of space, [%TargetEmperorTitle%] [%TargetEmperorName%]. It shall be ours. 
Response Friend NO Stop Border Incursions 3                             := You encroach upon our territory, [%TargetEmperorTitle%] [%TargetEmperorName%]. This will not be tolerated. 
Response Friend NO Stop Border Incursions 4                             := We claim these systems in the name of the [%OurEmpireName%].
Response Friend NO Stop Border Incursions 5                             := Do not stand in our way, or you too shall become a conquest, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend YES Stop Military Attacks On Us 1                       := We shall desist in any further attacks against the [%TargetEmpireName%].
Response Friend YES Stop Military Attacks On Us 2                       := We were caught up in our recent bloodlust. It has passed, and so too shall our attacks against you. 
Response Friend YES Stop Military Attacks On Us 3                       := Forgive this transgression [%TargetEmperorTitle%] [%TargetEmperorName%]. It shall not happen again. 
Response Friend YES Stop Military Attacks On Us 4                       := If there is a peace offering forthcoming, then we will consider a halt to our recent military advances. 
Response Friend YES Stop Military Attacks On Us 5                       := Your request is a sincere one, [%TargetEmperorTitle%] [%TargetEmperorName%]. We shall honor it. 
Response Friend NO Stop Military Attacks On Us 1                        := You are in no position to request anything, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Stop Military Attacks On Us 2                        := You ask us to stop and yet you bare no tributes? Your pleas fall on deaf ears, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Friend NO Stop Military Attacks On Us 3                        := We shall never stop until what was ours is ours again, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Stop Military Attacks On Us 4                        := The [%TargetEmpireName%] occupies territory that it has no right to. The claim of the [%OurEmpireName%] is ancient and incontrovertible. 
Response Friend NO Stop Military Attacks On Us 5                        := Beg for your life and that of your people, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend YES Stop Military Attacks Against Empire 1              := We will cease our activities against the [%OtherEmpireName%].
Response Friend YES Stop Military Attacks Against Empire 2              := But they have butchered our people! We shall comply, for now.
Response Friend YES Stop Military Attacks Against Empire 3              := We will do you this favor, [%TargetEmperorTitle%] [%TargetEmperorName%]. But you owe us.
Response Friend YES Stop Military Attacks Against Empire 4              := The [%OtherEmpireName%] was a minor skirmish. It will trouble you no longer.
Response Friend YES Stop Military Attacks Against Empire 5              := That you care about the [%OtherEmpireName%] is your own folly. We shall desist for now.
Response Friend NO Stop Military Attacks Against Empire 1               := Our war against the [%OtherEmpireName%] will stop when they capitulate.
Response Friend NO Stop Military Attacks Against Empire 2               := We shall never rest until the [%OtherEmpireName%] have been eradicated.
Response Friend NO Stop Military Attacks Against Empire 3               := You would hold us back against the murderous [%OtherEmpireName%]? Do not get in our way, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Stop Military Attacks Against Empire 4               := Our treaty, [%TargetEmperorTitle%] [%TargetEmperorName%], should come before all others. We shall not stop our attack.
Response Friend NO Stop Military Attacks Against Empire 5               := The [%OtherEmpireName%] deserve their fate.
Response Friend YES Remove Ships From System 1                          := We will remove our ships.
Response Friend YES Remove Ships From System 2                          := Orders have been issued to move our forces our of the [%SystemName%] system.
Response Friend YES Remove Ships From System 3                          := The [%SystemName%] system is yours. We are leaving.
Response Friend YES Remove Ships From System 4                          := We hope your plan is good. We are withdrawing our forces from the [%SystemName%] system.
Response Friend YES Remove Ships From System 5                          := As you command, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Friend NO Remove Ships From System 1                           := We will not remove our ships!
Response Friend NO Remove Ships From System 2                           := Give us a few months, our ships need time to withdraw.
Response Friend NO Remove Ships From System 3                           := We have pressing matters in the [%SystemName%] system, we cannot remove them at this time.
Response Friend NO Remove Ships From System 4                           := A major offensive is imminent in the [%SystemName%] system. Our forces are required to defend the system.
Response Friend NO Remove Ships From System 5                           := We are experiencing some technical difficulties on a number of our ships. As soon as they are repaired, we will remove them from the system..
Response Friend YES Remove Colonies From System 1                       := We will leave the system as soon as possible.
Response Friend YES Remove Colonies From System 2                       := Our transports are on the way to the [%SystemName%] system. Our colonies will be removed as soon as possible.
Response Friend YES Remove Colonies From System 3                       := Give us some time, [%TargetEmperorTitle%] [%TargetEmperorName%], and we shall remove our colonies.
Response Friend YES Remove Colonies From System 4                       := Population relocation in the [%SystemName%] system is underway.
Response Friend YES Remove Colonies From System 5                       := We estimate that within 1 year, we shall have completely deserted the [%SystemName%] system.
Response Friend NO Remove Colonies From System 1                        := We will not leave the system.
Response Friend NO Remove Colonies From System 2                        := The [%SystemName%] system is fully settled. It would take us years to move the population.
Response Friend NO Remove Colonies From System 3                        := We are conducting critical research in the [%SystemName%] system. We cannot leave at this time.
Response Friend NO Remove Colonies From System 4                        := We have as much right to the [%SystemName%] system as you do.
Response Friend NO Remove Colonies From System 5                        := The [%SystemName%] system is one of our ancestral homes. We shall not abandon it.
Send Enemy Miscellaneous Msg 1                                          := You will burn.
Send Enemy Miscellaneous Msg 2                                          := Your empire is at the end of its existence.
Send Enemy Miscellaneous Msg 3                                          := You have just begun to realize your folly.
Send Enemy Miscellaneous Msg 4                                          := Your demise is imminent.
Send Enemy Miscellaneous Msg 5                                          := Why continue this pointless resistance? If you will but put down your arms, we shall embrace you.
Response Enemy Declare War 1                                            := We always knew war would come with your species.
Response Enemy Declare War 2                                            := You will rue this day, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Declare War 3                                            := Your cities will burn with the light of our avenging fire!
Response Enemy Declare War 4                                            := The [%TargetEmpireName%] shall forever be known as vile traitors!
Response Enemy Declare War 5                                            := Death to the accursed [%TargetEmpireName%]!
Response Enemy Surrender 1                                              := You have finally fallen to your masters.
Response Enemy Surrender 2                                              := Your head will be placed on a pike, [%TargetEmperorTitle%] [%TargetEmperorName%]. For all future generations to know the folly of defying the [%OurEmpireName%].
Response Enemy Surrender 3                                              := And in the end, we see who are truly the superior beings. We always knew this day would come.
Response Enemy Surrender 4                                              := You fought valiantly [%TargetEmperorTitle%] [%TargetEmperorName%], but none can win against the mighty [%OurEmpireName%].
Response Enemy Surrender 5                                              := You will become slaves to our empire and will be excellent workers in our mines. But you, [%TargetEmperorTitle%] [%TargetEmperorName%], you shall be publicly executed for all to see.
Response Enemy Grant Independence 1                                     := The colony on [%SpaceObjectName%] is ours once more.
Response Enemy Grant Independence 2                                     := You really had no choice in the matter, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Grant Independence 3                                     := Finally, the people of [%SpaceObjectName%] are free once again!
Response Enemy Grant Independence 4                                     := We welcome our new brothers to the fold.
Response Enemy Grant Independence 5                                     := You have made a wise decision, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Accept Treaty Proposal 1                                 := You are wise to do so.
Response Enemy Accept Treaty Proposal 2                                 := Your wise decision, [%TargetEmperorTitle%] [%TargetEmperorName%], has prevented much suffering of your people.
Response Enemy Accept Treaty Proposal 3                                 := We welcome our new ally. Do not make us regret our decision.
Response Enemy Accept Treaty Proposal 4                                 := The [%TargetEmperorName%] are now our allies.
Response Enemy Accept Treaty Proposal 5                                 := We shall call off our imminent attack.
Response Enemy Accept Treaty Changes 1                                  := You are wise to do so.
Response Enemy Accept Treaty Changes 2                                  := Your wise decision, [%TargetEmperorTitle%] [%TargetEmperorName%], has prevented much suffering of your people.
Response Enemy Accept Treaty Changes 3                                  := We welcome our new ally. Do not make us regret our decision.
Response Enemy Accept Treaty Changes 4                                  := The [%TargetEmperorName%] are now our allies.
Response Enemy Accept Treaty Changes 5                                  := We shall call off our imminent attack.
Response Enemy Refuse Treaty Proposal 1                                 := Refusal is not acceptable.
Response Enemy Refuse Treaty Proposal 2                                 := You only sign your own death warrant, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Treaty Proposal 3                                 := You disappoint us, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Treaty Proposal 4                                 := Our charity was a one time lapse. You missed your chance.
Response Enemy Refuse Treaty Proposal 5                                 := The [%TargetEmpireName%] shall remain our enemies.
Response Enemy Refuse Treaty Changes 1                                  := Refusal is not acceptable.
Response Enemy Refuse Treaty Changes 2                                  := You only sign your own death warrant, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Treaty Changes 3                                  := You disappoint us, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Treaty Changes 4                                  := Our charity was a one time lapse. You missed your chance.
Response Enemy Refuse Treaty Changes 5                                  := The [%TargetEmpireName%] shall remain our enemies.
Response Enemy Break Treaty 1                                           := You shall pay the consequences.
Response Enemy Break Treaty 2                                           := You will stand alone among your enemies.
Response Enemy Break Treaty 3                                           := You can consider us an enemy, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Break Treaty 4                                           := Why throw away your only chance at peace, [%TargetEmperorTitle%] [%TargetEmperorName%]?
Response Enemy Break Treaty 5                                           := You are a fool, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Accept Trade 1                                           := This trade between our peoples will help to smooth the waters of our relations.
Response Enemy Accept Trade 2                                           := This trade improves your standing with us, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Accept Trade 3                                           := A few more of these, and relations may be possible.
Response Enemy Accept Trade 4                                           := You may be above contempt.
Response Enemy Accept Trade 5                                           := You took long enough, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Trade 1                                           := Refusing our trade is not a wise decision.
Response Enemy Refuse Trade 2                                           := We see that you are not a wise leader, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Trade 3                                           := You throw away even the most obvious benefits.
Response Enemy Refuse Trade 4                                           := Alas, you choose to remain alone. No one will remember when your race passes from the galaxy.
Response Enemy Refuse Trade 5                                           := You are a fool, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Accept Gift 1                                            := We hope this will suffice.
Response Enemy Accept Gift 2                                            := Ask no more of us, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Accept Gift 3                                            := Our people starve, but your gift was scraped together from the plates of our children.
Response Enemy Accept Gift 4                                            := These gifts try our patience.
Response Enemy Accept Gift 5                                            := That will be the last for some time, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Gift 1                                            := That will be the last you get!
Response Enemy Refuse Gift 2                                            := Never again shall we demean ourselves, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Gift 3                                            := You throw away even that which is free.
Response Enemy Refuse Gift 4                                            := Your refusal deeply dishonors us, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Gift 5                                            := Our next gift will be that of 50 neutron bombs on your homeworld.
Response Enemy Accept Alliance Proposal 1                               := This is a momentous day!
Response Enemy Accept Alliance Proposal 2                               := We welcome you into a larger galactic community. 
Response Enemy Accept Alliance Proposal 3                               := You have made a decision of historical importance this day [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Accept Alliance Proposal 4                               := May our alliance prosper with the addition of this new member!
Response Enemy Accept Alliance Proposal 5                               := You take your first steps into the destiny of the galaxy!
Response Enemy Refuse Alliance Proposal 1                               := That was not a wise decision, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Alliance Proposal 2                               := The alliance will be diminshed without your membership. 
Response Enemy Refuse Alliance Proposal 3                               := Only a fool stands alone against the storm!
Response Enemy Refuse Alliance Proposal 4                               := Reconsider the great honor you throw away [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Alliance Proposal 5                               := You've lost your only chance at greatness, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Break With Alliance 1                                    := Do not act so rashly, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Break With Alliance 2                                    := The alliance was your only hope of survival, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Break With Alliance 3                                    := Go as a friend, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Break With Alliance 4                                    := You are ill equipped to survive the coming chaos alone, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Break With Alliance 5                                    := The alliance does not need the likes of you, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Accept Request 1                                         := Excellent!
Response Enemy Accept Request 2                                         := You have made the right decision, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Accept Request 3                                         := You would make a good candidate for a treaty, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Accept Request 4                                         := See that you honor all of our requests. 
Response Enemy Accept Request 5                                         := You are a welcome neighbor, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Request 1                                         := Refusing our requests is not an option, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Refuse Request 2                                         := You endanger our good will, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Refuse Request 3                                         := Refusing our requests enrages us, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy Refuse Request 4                                         := Do you wish to go to war? Your refusal says yes, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy Refuse Request 5                                         := Relations with you is impossible, [%TargetEmperorTitle%] [%TargetEmperorName%]. 
Response Enemy NO Want A Gift 1                                         := We cannot give you the gift you demand.
Response Enemy NO Want A Gift 2                                         := You cannot demand anything from us, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy NO Want A Gift 3                                         := Your shakedowns only show how desperate the [%TargetEmpireName%] is.
Response Enemy NO Want A Gift 4                                         := Your nagging grows very tiresome, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy NO Want A Gift 5                                         := The only gift we shall give you is that of our conquering presence.
Response Enemy NO Demand Your Surrender 1                               := This does not surprise us from you. We refuse to surrender!
Response Enemy NO Demand Your Surrender 2                               := Surrender? When we are so close to victory? I think not.
Response Enemy NO Demand Your Surrender 3                               := You think much of yourself, don't you [%TargetEmperorTitle%] [%TargetEmperorName%]?
Response Enemy NO Demand Your Surrender 4                               := Our race will fight to the very last before ever giving in to you, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy NO Demand Your Surrender 5                               := We would rather destroy our worlds then let the [%TargetEmpireName%] have them.
Response Enemy YES Stop Aggression Against Empire 1                     := We will stop our aggression against the [%OtherEmpireName%].
Response Enemy YES Stop Aggression Against Empire 2                     := Your council is wise. We shall suspend attacks against the [%OtherEmpireName%]. 
Response Enemy YES Stop Aggression Against Empire 3                     := A momentary pause in our military campaign against the [%OtherEmpireName%] might be warranted. 
Response Enemy YES Stop Aggression Against Empire 4                     := Only because you ask this of us, and we value you as an ally. 
Response Enemy YES Stop Aggression Against Empire 5                     := Though its against our better judgement, we shall cease aggression against the [%OtherEmpireName%]. 
Response Enemy NO Stop Aggression Against Empire 1                      := The [%OtherEmpireName%] is ripe for take over. Our attacks will continue. 
Response Enemy NO Stop Aggression Against Empire 2                      := Don't get in our way [%TargetEmperorTitle%] [%TargetEmperorName%], the [%OtherEmpireName%] shall be destroyed. 
Response Enemy NO Stop Aggression Against Empire 3                      := You cannot ask this of us, [%TargetEmperorTitle%] [%TargetEmperorName%]. The atrocities commited by the [%OtherEmpireName%] shall be avenged. 
Response Enemy NO Stop Aggression Against Empire 4                      := The [%OtherEmpireName%] is not worthy of your concern. We will grind them into dust. 
Response Enemy NO Stop Aggression Against Empire 5                      := We must regretfully decline your request. Only the complete destruction of the [%OtherEmpireName%] will sate our blood lust.
Response Enemy YES Break Treaty With Empire 1                           := We will break our treaty with the [%OtherEmpireName%].
Response Enemy YES Break Treaty With Empire 2                           := The [%OtherEmpireName%] shall stand alone.
Response Enemy YES Break Treaty With Empire 3                           := You ask much of us [%TargetEmperorTitle%] [%TargetEmperorName%]. We expect a treaty for this generous act.
Response Enemy YES Break Treaty With Empire 4                           := The treaty between the [%OtherEmpireName%] and ourselves is now over.
Response Enemy YES Break Treaty With Empire 5                           := As you command, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy NO Break Treaty With Empire 1                            := The [%OtherEmpireName%] are more honorable than you. We choose to keep our treaty.
Response Enemy NO Break Treaty With Empire 2                            := We do not desert our allies!
Response Enemy NO Break Treaty With Empire 3                            := Only the forces of your arms will break this treaty.
Response Enemy NO Break Treaty With Empire 4                            := Your fear is showing, [%TargetEmperorTitle%] [%TargetEmperorName%]. The treaty stands.
Response Enemy NO Break Treaty With Empire 5                            := Our treaty will far outlast your puny lifespan.
Response Enemy YES Declare War On Empire 1                              := War with the [%OtherEmpireName%] has begun...
Response Enemy YES Declare War On Empire 2                              := The great war against the [%OtherEmpireName%] begins this day!
Response Enemy YES Declare War On Empire 3                              := We expect an alliance with your people, [%TargetEmperorTitle%] [%TargetEmperorName%], to support us during this war.
Response Enemy YES Declare War On Empire 4                              := The accursed [%OtherEmpireName%] shall pay for their crimes!
Response Enemy YES Declare War On Empire 5                              := Death to the vile [%OtherEmpireName%]...
Response Enemy NO Declare War On Empire 1                               := Never!
Response Enemy NO Declare War On Empire 2                               := Do you fancy yourself a puppeteer, [%TargetEmperorTitle%] [%TargetEmperorName%]?
Response Enemy NO Declare War On Empire 3                               := We shall not do the bidding of your treacherous people, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy NO Declare War On Empire 4                               := We grow tired of your petty conflicts, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy NO Declare War On Empire 5                               := We are not prepared for a full-scale war at this time.
Response Enemy YES Make Peace With Empire 1                             := We will make peace with the [%OtherEmpireName%].
Response Enemy YES Make Peace With Empire 2                             := You are an excellent mediator, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy YES Make Peace With Empire 3                             := The time for war has ended, we will comply.
Response Enemy YES Make Peace With Empire 4                             := Let the great war now fade away. Let our children know peace in this age.
Response Enemy YES Make Peace With Empire 5                             := We will attempt to forge an alliance with the [%OtherEmpireName%].
Response Enemy NO Make Peace With Empire 1                              := We will never make peace with the [%OtherEmpireName%].
Response Enemy NO Make Peace With Empire 2                              := The [%OtherEmpireName%] are our sworn enemies. We will never make peace with their ilk.
Response Enemy NO Make Peace With Empire 3                              := Once again you ask for the impossible, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy NO Make Peace With Empire 4                              := You cannot ask this of us, [%TargetEmperorTitle%] [%TargetEmperorName%].
Response Enemy NO Make Peace With Empire 5                              := The [%OtherEmpireName%] have no concept of peace. They live only to make war.
Response Enemy YES Want To Join Alliance 1                              := We would welcome you as a new member of [%AllianceName%].
Response Enemy YES Want To Join Alliance 2                              := Your request to join [%AllianceName%] is accepted. Welcome!
Response Enemy YES Want To Join Alliance 3                              := You are joining a great new community!
Response Enemy YES Want To Join Alliance 4                              := [%AllianceName%] would be proud to call you a member. 
Response Enemy YES Want To Join Alliance 5                              := [%AllianceName%] warmly accepts your request to join. 
Response Enemy NO Want To Join Alliance 1                               := Unfortunately, [%AllianceName%] cannot accept you as a member at this time. 
Response Enemy NO Want To Join Alliance 2                               := Your petition to join [%AllianceName%] is denied. 
Response Enemy NO Want To Join Alliance 3                               := [%AllianceName%] cannot accept new members at this time. 
Response Enemy NO Want To Join Alliance 4                               := Your empire is not sufficiently advanced to join [%AllianceName%]. 
Response Enemy NO Want To Join Alliance 5                               := You offer nothing of worth to [%AllianceName%]. 
Response Enemy YES Break Your Membership In Alliance 1                  := We will immediately break with [%AllianceName%].
Response Enemy YES Break Your Membership In Alliance 2                  := Our membership in [%AllianceName%] is not going to last.
Response Enemy YES Break Your Membership In Alliance 3                  := We will sever all ties with [%AllianceName%].
Response Enemy YES Break Your Membership In Alliance 4                  := [%AllianceName%] is no longer a group we will associate with.
Response Enemy YES Break Your Membership In Alliance 5                  := [%AllianceName%] is soon to be at an end. 
Response Enemy NO Break Your Membership In Alliance 1                   := We will never break with [%AllianceName%].
Response Enemy NO Break Your Membership In Alliance 2                   := You cannot ask us to end our membership in [%AllianceName%].
Response Enemy NO Break Your Membership In Alliance 3                   := Our membership in [%AllianceName%] will last longer than your empire. 
Response Enemy NO Break Your Membership In Alliance 4                   := [%AllianceName%] has our loyalty till the end of time. 
Response Enemy NO Break Your Membership In Alliance 5                   := We will not break our membership. 
Response Enemy YES Join Alliance 1                                      := Yes, we shall join [%AllianceName%].
Response Enemy YES Join Alliance 2                                      := We will join [%AllianceName%]. 
Response Enemy YES Join Alliance 3                                      := [%AllianceName%] will have our membership. 
